fmm	bmm	crf	ent	bru	pre	v	adv	adj	n	ner	emprunt	neg
V	V	A	V	V	V	0	0	0	1	0	0	0
V	V	A	V	A	A	0.5	0	0.5	0	0	0	0
F	F	A	F	A	F	0	0	0	0.5	0.5	0	0
F	F	V	F	A	V	0	0	0	0	1	0	0
V	V	V	F	A	V	0	0	0	1	0	0	0
F	F	F	V	A	F	0	0	0	1	0	0	0
F	F	V	V	A	V	0	0	0	1	0	0	0
A	A	F	F	F	F	1	0	0	0	0	0	0
A	V	V	V	V	V	0.5	0	0.5	0	0	0	0
A	A	A	V	F	F	0	0	0	0	0	1	0
A	V	V	V	V	V	0.5	0	0.5	0	0	0	0
A	V	V	V	V	F	0.5	0.5	0	0	0	0	0
A	V	V	F	V	V	0	0.5	0.5	0	0	0	0
A	A	V	V	A	V	0	0	0.5	0.5	0	0	0
A	A	A	V	A	V	0.5	0.5	0	0	0	0	0
A	A	A	V	A	V	0.5	0.5	0	0	0	0	0
A	V	V	V	V	F	0.5	0	0	0.5	0	0	0
V	A	V	F	V	V	0	1	0	0	0	0	0
V	A	V	F	V	V	0	0.5	0	0.5	0	0	0
V	A	V	F	V	V	0	0	1	0	0	0	0
V	A	V	F	V	V	0	0	1	0	0	0	0
A	A	A	F	A	F	0	0.5	0	0.5	0	0	0
V	A	V	V	V	V	0	0	0	1	0	0	0
F	A	V	F	V	V	0	0.5	0.5	0	0	0	0
V	A	V	F	V	V	0	0	1	0	0	0	0
V	A	V	V	V	V	0	0	0	1	0	0	0
V	A	V	F	V	V	0	0	1	0	0	0	0
A	A	A	V	A	A	0.5	0.5	0	0	0	0	0
V	V	A	V	V	F	0.5	0	0	0.5	0	0	0
V	V	V	A	F	V	0	0	0	1	0	0	0
A	A	V	A	V	V	1	0	0	0	0	0	0
V	V	A	V	A	F	0	0	0	0	0	1	0
V	V	V	V	A	V	0	0	0	1	0	0	0
F	F	V	F	A	A	0.5	0	0.5	0	0	0	0
V	V	V	V	A	A	0	0	0.5	0.5	0	0	0
A	A	A	V	A	A	0.5	0	0	0.5	0	0	0
V	V	V	V	V	A	0.5	0.5	0	0	0	0	0
A	A	V	F	V	V	0	0	0	0	0	1	0
A	F	V	F	V	V	0	0	0	0	1	0	0
A	A	V	F	V	F	0	0.5	0	0.5	0	0	0
A	A	V	F	V	F	0	0.5	0	0.5	0	0	0
A	V	V	F	V	V	0	0	0	1	0	0	0
A	V	V	F	V	V	0	0.5	0	0.5	0	0	0
A	F	V	F	V	V	0	0	0	0.5	0	0.5	0
A	F	F	F	V	F	0	0	0	0	1	0	0
A	V	V	V	V	F	0.5	0	0	0.5	0	0	0
A	V	V	F	V	V	0	0.5	0	0	0.5	0	0
A	A	V	F	F	V	0	0.5	0	0.5	0	0	0
A	F	V	F	F	V	0	0	0	1	0	0	0
A	F	V	F	V	V	0.5	0	0	0	0	0.5	0
A	A	A	V	A	A	0	0	0	0	0	1	0
V	A	V	F	V	V	0	0	0	1	0	0	0
V	A	V	F	V	V	0	0	0	1	0	0	0
F	A	V	V	V	V	0	0.5	0	0.5	0	0	0
F	A	V	V	V	V	0	0	0	0	0	1	0
V	A	V	V	V	V	0.5	0.5	0	0	0	0	0
F	A	V	F	V	V	0	0	0	1	0	0	0
F	F	A	F	V	V	0	0	0	0	0	0	1
A	V	V	V	V	V	0.5	0.5	0	0	0	0	0
F	V	A	V	A	V	0.5	0.5	0	0	0	0	0
F	F	A	F	V	V	0	0	0	1	0	0	0
F	F	V	A	V	V	0	0	0	1	0	0	0
V	V	V	A	V	V	0	0	0	1	0	0	0
V	V	V	A	V	V	0	0	0	1	0	0	0
V	V	V	F	A	V	0	0	0	1	0	0	0
F	F	V	F	V	A	0	0.5	0	0.5	0	0	0
V	V	V	F	V	A	0	0	0	0	1	0	0
V	V	V	F	V	A	0	0.5	0	0.5	0	0	0
A	V	V	F	V	V	0.5	0	0	0.5	0	0	0
A	V	V	F	V	V	0	0.5	0	0.5	0	0	0
A	F	V	F	V	V	0	0	0	1	0	0	0
A	F	F	F	F	V	0	0	0	1	0	0	0
A	V	V	V	V	V	0	0	0.5	0	0	0	0.5
A	V	V	V	V	V	0	0.5	0	0.5	0	0	0
A	A	A	V	A	V	0	0.5	0.5	0	0	0	0
A	F	A	F	F	V	0.5	0	0	0	0.5	0	0
A	F	V	F	V	V	0.5	0	0	0	0.5	0	0
A	A	F	F	V	V	0	0	0	0.5	0.5	0	0
A	A	F	F	A	F	0	0	0	0.5	0.5	0	0
A	A	F	F	A	F	0	0	0	0.5	0.5	0	0
A	A	F	F	A	V	0	0	0	0.5	0.5	0	0
A	A	V	V	V	V	0	0	0	1	0	0	0
A	A	A	F	V	A	0	0	1	0	0	0	0
A	V	V	V	V	V	0.5	0.5	0	0	0	0	0
A	A	V	V	F	F	0.5	0	0.5	0	0	0	0
A	V	F	F	V	F	0	0.5	0	0.5	0	0	0
A	F	V	V	V	V	0.5	0.5	0	0	0	0	0
A	V	V	V	V	V	0	0	0.5	0	0	0	0.5
A	V	V	V	V	V	0	0	0.5	0	0	0	0.5
A	V	V	V	V	V	0	0.5	0	0	0	0	0
V	A	V	V	V	V	0.5	0.5	0	0	0	0	0
V	A	V	F	V	V	0.5	0.5	0	0	0	0	0
V	A	F	F	V	F	0.5	0	0.5	0	0	0	0
V	A	V	V	V	V	0	0.5	0	0.5	0	0	0
V	A	V	F	V	V	0	1	0	0	0	0	0
F	A	V	F	V	V	0	0	0	1	0	0	0
F	A	V	F	V	V	0	0	0	1	0	0	0
V	A	V	F	V	V	0	0	1	0	0	0	0
V	A	V	F	V	V	0	0	0	1	0	0	0
A	A	A	V	A	A	0	0.5	0.5	0	0	0	0
F	A	V	V	V	V	0.5	0.5	0	0	0	0	0
V	A	V	F	V	V	0	0	0	0	0	1	0
V	A	V	F	V	V	0	0	1	0	0	0	0
F	V	A	V	V	A	0	0.5	0	0.5	0	0	0
F	F	A	V	V	V	0	0.5	0	0	0.5	0	0
V	V	V	A	V	V	0	0.5	0.5	0	0	0	0
V	V	V	A	V	V	0	1	0	0	0	0	0
V	V	V	V	A	V	0	0	0	0	0	1	0
V	V	V	V	V	A	0	0	0	1	0	0	0
V	V	V	F	V	A	0	0	0	0	0	1	0


